STOPID,STOPNAME,X,Y
XBUS_00004723,XBUS_00004723,22.532853,114.06442
XBUS_00004724,XBUS_00004724,22.533631,114.084753
XBUS_00004725,XBUS_00004725,22.549896,114.067911
XBUS_00004726,XBUS_00004726,22.517147,114.06407
XBUS_00004727,XBUS_00004727,22.517997,114.065283
XBUS_00004728,XBUS_00004728,22.519844,114.065759
XBUS_00004729,XBUS_00004729,22.520281,114.065454
XBUS_00004730,XBUS_00004730,22.523098,114.061981
XBUS_00004731,XBUS_00004731,22.523292,114.062359
XBUS_00004732,XBUS_00004732,22.52214,114.065208
XBUS_00004733,XBUS_00004733,22.5226,114.064888
XBUS_00004735,XBUS_00004735,22.534082,114.068178
XBUS_00004736,XBUS_00004736,22.519214,114.067057
XBUS_00004737,XBUS_00004737,22.519465,114.067499
XBUS_00004738,XBUS_00004738,22.536615,114.068158
XBUS_00004739,XBUS_00004739,22.522356,114.068225
XBUS_00004740,XBUS_00004740,22.522652,114.068378
XBUS_00004741,XBUS_00004741,22.528531,114.057549
XBUS_00004742,XBUS_00004742,22.513612,114.055736
XBUS_00004744,XBUS_00004744,22.531479,114.056349
XBUS_00004745,XBUS_00004745,22.531714,114.056557
XBUS_00004746,XBUS_00004746,22.528572,114.061437
XBUS_00004747,XBUS_00004747,22.53258,114.058894
XBUS_00004748,XBUS_00004748,22.532777,114.058707
XBUS_00004749,XBUS_00004749,22.534818,114.055068
XBUS_00004750,XBUS_00004750,22.534818,114.056834
XBUS_00004751,XBUS_00004751,22.534579,114.056893
XBUS_00004752,XBUS_00004752,22.536942,114.058038
XBUS_00004753,XBUS_00004753,22.534882,114.060137
XBUS_00004754,XBUS_00004754,22.534119,114.063282
XBUS_00004755,XBUS_00004755,22.534649,114.059999
XBUS_00004756,XBUS_00004756,22.536372,114.078224
XBUS_00004758,XBUS_00004758,22.525543,114.064329
XBUS_00004759,XBUS_00004759,22.525654,114.064064
XBUS_00004761,XBUS_00004761,22.528921,114.079764
XBUS_00004762,XBUS_00004762,22.534701,114.066548
XBUS_00004763,XBUS_00004763,22.525721,114.068331
XBUS_00004764,XBUS_00004764,22.560454,114.067672
XBUS_00004766,XBUS_00004766,22.54604,114.06801
XBUS_00004767,XBUS_00004767,22.528747,114.069151
XBUS_00004768,XBUS_00004768,22.530728,114.083628
XBUS_00004769,XBUS_00004769,22.533746,114.067974
XBUS_00004770,XBUS_00004770,22.533283,114.063082
XBUS_00004771,XBUS_00004771,22.536185,114.063266
XBUS_00004772,XBUS_00004772,22.535693,114.063054
XBUS_00004773,XBUS_00004773,22.53919,114.065435
XBUS_00004774,XBUS_00004774,22.536381,114.067941
XBUS_00004775,XBUS_00004775,22.535228,114.069947
XBUS_00004776,XBUS_00004776,22.535125,114.07017
XBUS_00004777,XBUS_00004777,22.539816,114.069826
XBUS_00004784,XBUS_00004784,22.534934,114.077195
XBUS_00004785,XBUS_00004785,22.536544,114.078147
XBUS_00004786,XBUS_00004786,22.537776,114.0772
XBUS_00004788,XBUS_00004788,22.540404,114.077311
XBUS_00004789,XBUS_00004789,22.540188,114.078778
XBUS_00004790,XBUS_00004790,22.544563,114.079876
XBUS_00004791,XBUS_00004791,22.537058,114.079475
XBUS_00004792,XBUS_00004792,22.54045,114.080036
XBUS_00004793,XBUS_00004793,22.540197,114.080806
XBUS_00004794,XBUS_00004794,22.537232,114.080729
XBUS_00004795,XBUS_00004795,22.537854,114.084926
XBUS_00004796,XBUS_00004796,22.538896,114.086936
XBUS_00004797,XBUS_00004797,22.537215,114.086785
XBUS_00004798,XBUS_00004798,22.537658,114.084586
XBUS_00004799,XBUS_00004799,22.540286,114.083518
XBUS_00004800,XBUS_00004800,22.540487,114.083028
XBUS_00004801,XBUS_00004801,22.540548,114.084464
XBUS_00004802,XBUS_00004802,22.54036,114.085379
XBUS_00004803,XBUS_00004803,22.540447,114.069727
XBUS_00004806,XBUS_00004806,22.538046,114.088829
XBUS_00004807,XBUS_00004807,22.540072,114.052339
XBUS_00004808,XBUS_00004808,22.537908,114.090481
XBUS_00004809,XBUS_00004809,22.534998,114.091026
XBUS_00004811,XBUS_00004811,22.534503,114.091671
XBUS_00004812,XBUS_00004812,22.538327,114.092466
XBUS_00004813,XBUS_00004813,22.538325,114.093019
XBUS_00004814,XBUS_00004814,22.540501,114.091499
XBUS_00004815,XBUS_00004815,22.540731,114.091731
XBUS_00004816,XBUS_00004816,22.540784,114.093691
XBUS_00004817,XBUS_00004817,22.540567,114.094381
XBUS_00004818,XBUS_00004818,22.533309,114.085298
XBUS_00004819,XBUS_00004819,22.535083,114.096778
XBUS_00004820,XBUS_00004820,22.537255,114.095421
XBUS_00004821,XBUS_00004821,22.535728,114.097247
XBUS_00004823,XBUS_00004823,22.538889,114.097894
XBUS_00004824,XBUS_00004824,22.538721,114.098187
XBUS_00004825,XBUS_00004825,22.537478,114.10106
XBUS_00004827,XBUS_00004827,22.537511,114.103102
XBUS_00004828,XBUS_00004828,22.537395,114.101677
XBUS_00004830,XBUS_00004830,22.535229,114.104064
XBUS_00004831,XBUS_00004831,22.534969,114.088289
XBUS_00004833,XBUS_00004833,22.535782,114.103144
XBUS_00004834,XBUS_00004834,22.537241,114.10487
XBUS_00004835,XBUS_00004835,22.535774,114.108001
XBUS_00004836,XBUS_00004836,22.538426,114.103481
XBUS_00004839,XBUS_00004839,22.539513,114.104639
XBUS_00004841,XBUS_00004841,22.538377,114.105639
XBUS_00004842,XBUS_00004842,22.535198,114.107396
XBUS_00004843,XBUS_00004843,22.534843,114.118878
XBUS_00004844,XBUS_00004844,22.538569,114.107055
XBUS_00004845,XBUS_00004845,22.537713,114.108694
XBUS_00004846,XBUS_00004846,22.537923,114.109202
XBUS_00004847,XBUS_00004847,22.541558,114.108459
XBUS_00004848,XBUS_00004848,22.538533,114.110971
XBUS_00004849,XBUS_00004849,22.541639,114.109004
XBUS_00004850,XBUS_00004850,22.540246,114.1115
XBUS_00004851,XBUS_00004851,22.540647,114.111616
XBUS_00004852,XBUS_00004852,22.529563,114.116626
XBUS_00004853,XBUS_00004853,22.538546,114.110168
XBUS_00004854,XBUS_00004854,22.538066,114.115505
XBUS_00004855,XBUS_00004855,22.537625,114.115717
XBUS_00004856,XBUS_00004856,22.539047,114.114689
XBUS_00004857,XBUS_00004857,22.541595,114.109987
XBUS_00004859,XBUS_00004859,22.534175,114.116194
XBUS_00004860,XBUS_00004860,22.533403,114.116109
XBUS_00004861,XBUS_00004861,22.535277,114.119
XBUS_00004862,XBUS_00004862,22.539022,114.113247
XBUS_00004864,XBUS_00004864,22.538129,114.116727
XBUS_00004866,XBUS_00004866,22.538255,114.118673
XBUS_00004867,XBUS_00004867,22.538408,114.118873
XBUS_00004868,XBUS_00004868,22.541034,114.118662
